epoch,train_loss,train_acc,val_loss,val_acc
1,1.4764,55.37,0.9282,71.64
2,0.4921,83.94,0.5275,82.66
3,0.3087,89.73,0.3438,89.0
4,0.2216,92.66,0.6214,81.73
5,0.1696,94.44,0.3713,89.22
6,0.1379,95.39,0.3808,89.02
7,0.111,96.4,0.2267,93.13
8,0.0971,96.77,0.2441,92.97
9,0.0859,97.17,0.8134,83.29
10,0.0751,97.5,0.6397,85.45
11,0.0691,97.73,0.1625,95.12
12,0.0638,97.95,0.498,88.96
13,0.0626,97.83,0.5905,87.56
14,0.0602,98.05,0.3235,91.57
15,0.0439,98.55,0.116,96.56
16,0.05,98.34,0.248,93.7
17,0.0441,98.6,0.108,97.04
18,0.0454,98.56,0.2241,93.79
19,0.0392,98.72,0.2605,94.3
20,0.043,98.56,0.195,94.96
21,0.0341,98.89,0.0929,97.32
22,0.0284,99.06,0.121,97.12
23,0.0371,98.76,0.0895,97.49
24,0.0338,98.96,0.1592,95.96
25,0.0283,99.07,0.1904,94.77
26,0.0288,99.06,0.0841,97.85
27,0.0317,98.99,0.3243,93.0
28,0.0331,98.96,0.3031,93.3
29,0.0292,99.04,0.2204,95.16
30,0.0245,99.16,0.2416,95.53
31,0.0185,99.33,0.2361,94.62
